Identifier,Repeat no,Display Name,Device identifier,Instance,Submission Date,Submitter,Duration,Form version,4.1 What is the level of E. coli in the water? - Health Risk Category (Based on MPN and Confidence Interval),MPN(MPN/100ml),Upper 95% Confidence Interval,4.1 What is the level of E. coli in the water? --Image
mphr-c5sv-9j8v,1,Warero dam,WB RM 15,137780010,26-09-2018 09:56:14 UTC,M. Ngotho Muiruri,00:00:06,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/daacb09d-7ce3-47df-a1fb-a5f8d320ce6f.jpg
rpv1-0pd5-35es,1,Kinamba Catholic Dispensary Borehole,WB RM 15,131940010,26-09-2018 09:56:51 UTC,M. Ngotho Muiruri,00:00:04,,Intermediate Risk / Probably Safe,2.1,6.85,https://akvoflow-140.s3.amazonaws.com/images/f84295e9-dbef-4124-b59c-6e0c4015f649.jpg
7695-9mbn-d8wp,1,Gataracha dam,WB RM 15,140050003,26-09-2018 09:57:38 UTC,M. Ngotho Muiruri,00:00:02,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/f98ffb2b-3c2e-49dd-9be6-1b2499f30eee.jpg
t43c-3u3j-2vam,1,Kamunju dam,WB RM 15,133960006,26-09-2018 09:58:26 UTC,M. Ngotho Muiruri,00:00:05,,High Risk / Possibly Unsafe,13.6,83.06,https://akvoflow-140.s3.amazonaws.com/images/5c91bb0a-e829-4b6b-8252-9f06bb0bc2bd.jpg
bvn5-ann3-xw82,1,Olmoran Dam,WB RM 5,147750079,28-09-2018 04:36:08 UTC,Mary Nyambura,00:00:12,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/386e03b1-c487-4374-982a-b6f590b4b96a.jpg
9der-80r0-a9jh,1,Pesi River,WB RM 5,149300004,28-09-2018 04:38:22 UTC,Mary Nyambura,00:00:04,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/e9fba5a7-1a95-420f-baa2-f6a41c8cde30.jpg
uxqx-cq9c-msqk,1,Mutara River,WB RM 5,137870037,28-09-2018 04:39:24 UTC,Mary Nyambura,00:00:05,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/a038987e-4248-4702-9a57-e1f204f7066c.jpg
csjd-39an-ypyf,1,kiamariga Borehole,WB RM 5,128210085,28-09-2018 04:40:15 UTC,Mary Nyambura,00:00:16,,Low Risk / Safe,0,2.87,https://akvoflow-140.s3.amazonaws.com/images/ae41405b-3f4f-4d68-a73d-15e39a91556e.jpg
e5v4-h2hq-ygnj,1,Dr Wachira sec School,WB RM 5,114420105,28-09-2018 04:44:20 UTC,Mary Nyambura,00:00:03,,Very High Risk / Unsafe,> 100,9435.1,https://akvoflow-140.s3.amazonaws.com/images/3b79ee0b-c52b-4f02-a58e-397bf8773964.jpg
cxb8-9784-yp7m,1,Ruai Dam-Mutara,WB RM 5,137910005,28-09-2018 04:45:15 UTC,Mary Nyambura,00:00:07,,High Risk / Probably Unsafe,48.3,351.91,https://akvoflow-140.s3.amazonaws.com/images/b9e58a91-dc54-4e00-90b8-f26abf9dd3fa.jpg
